"Package","Title","Description","URL","Version","Date","Category"
"tatoo","Combine and Export Data Frames","
  Functions to combine data.frames in ways that require additional effort in 
  base R, and to add metadata (id, title, ...) that can be used for printing and 
  xlsx export. The 'Tatoo_report' class is provided as a 
  convenient helper to write several such tables to a workbook, one table per 
  worksheet. Tatoo is built on top of 'openxlsx', but intimate knowledge of 
  that package is not required to use tatoo.","https://github.com/statistikat/tatoo","1.1.0",NA,"Tools"
"textclean","Text Cleaning Tools","Tools to clean and process text.  Tools are geared at checking for substrings that
          are not optimal for analysis and replacing or removing them (normalizing) with more
          analysis friendly substrings (see Sproat, Black, Chen, Kumar, Ostendorf, & Richards
          (2001) <doi:10.1006/csla.2001.0169>) or extracting them into new variables. For
          example, emoticons are often used in text but not always easily handled by analysis
          algorithms.  The replace_emoticon() function replaces emoticons with word
          equivalents.","https://github.com/trinker/textclean","0.9.2",NA,"Text"
"textfeatures","Extracts Features from Text","A tool for extracting some generic features (e.g., number of 
    words, line breaks, characters per word, URLs, lower case, upper case, 
    commas, periods, exclamation points, etc.) from strings of text.","https://github.com/mkearney/textfeatures","0.1.1",NA,"Text"
"thinkr","Tools for Cleaning Up Messy Files","Some tools for cleaning up messy 'Excel' files to be suitable for R. People who have been working with 'Excel' for years built more or less complicated sheets with names, characters, formats that are not homogeneous. To be able to use them in R nowadays, we built a set of functions that will avoid the majority of importation problems and keep all the data at best.",NA,"0.13","2018-06-19","EDA / Imputation"
"threejs","Interactive 3D Scatter Plots, Networks and Globes","Create interactive 3D scatter plots, network plots, and
    globes using the 'three.js' visualization library (<https://threejs.org>).","https://bwlewis.github.io/rthreejs","0.3.1","2017-08-11","Plots"
"tibbletime","Time Aware Tibbles","Built on top of the 'tibble' package, 'tibbletime' is an extension
  that allows for the creation of time aware tibbles. Some immediate
  advantages of this include: the ability to perform time-based subsetting
  on tibbles, quickly summarising and aggregating results by time periods,
  and creating columns that can be used as 'dplyr' time-based groups.","https://github.com/business-science/tibbletime","0.1.1","2018-01-29","Time Series"
"tictoc","Functions for timing R scripts, as well as implementations of
Stack and List structures","This package provides the timing functions 'tic' and 'toc' that
    can be nested. One can record all timings while a complex script is
    running, and examine the values later. It is also possible to instrument
    the timing calls with custom callbacks. In addition, this package provides
    class 'Stack', implemented as a vector, and class 'List', implemented as a
    list, both of which support operations 'push', 'pop', 'first', 'last' and
    'clear'.","http://github.com/collectivemedia/tictoc","1.0",NA,"Programming"
"tidygraph","A Tidy API for Graph Manipulation","A graph, while not ""tidy"" in itself, can be thought of as two tidy
    data frames describing node and edge data respectively. 'tidygraph'
    provides an approach to manipulate these two virtual data frames using the
    API defined in the 'dplyr' package, as well as provides tidy interfaces to 
    a lot of common graph algorithms.","https://github.com/thomasp85/tidygraph","1.1.0","2018-02-10","Plots"
"tidyquant","Tidy Quantitative Financial Analysis","Bringing financial analysis to the 'tidyverse'. The 'tidyquant' 
    package provides a convenient wrapper to various 'xts', 'zoo', 'quantmod', 'TTR' 
    and 'PerformanceAnalytics' package 
    functions and returns the objects in the tidy 'tibble' format. The main 
    advantage is being able to use quantitative functions with the 'tidyverse'
    functions including 'purrr', 'dplyr', 'tidyr', 'ggplot2', 'lubridate', etc. See 
    the 'tidyquant' website for more information, documentation and examples.","https://github.com/business-science/tidyquant","0.5.5","2018-05-06",""
"timetk","A Tool Kit for Working with Time Series in R","
    Get the time series index, signature, and summary from time series objects and
    time-based tibbles. Create future time series based on properties of 
    existing time series index.  
    Coerce between time-based tibbles ('tbl') and 'xts', 'zoo', and 'ts'. ","https://github.com/business-science/timetk","0.1.1","2018-05-14","Time Series"
"tmap","Thematic Maps","Thematic maps are geographical maps in which spatial data distributions are visualized. This package offers a flexible, layer-based, and easy to use approach to create thematic maps, such as choropleths and bubble maps.","https://github.com/mtennekes/tmap","1.11-2","2018-04-10","Maps"
"tmaptools","Thematic Map Tools","Set of tools for reading and processing spatial data. The aim is to supply the workflow to create thematic maps. This package also facilitates 'tmap', the package for visualizing thematic maps.","https://github.com/mtennekes/tmaptools","1.2-4","2018-04-10","Maps"
"tmuxr",NA,NA,NA,NA,NA,"System"
"topicmodels","Topic Models","Provides an interface to the C code for Latent Dirichlet
	     Allocation (LDA) models and Correlated Topics Models
	     (CTM) by David M. Blei and co-authors and the C++ code
	     for fitting LDA models using Gibbs sampling by Xuan-Hieu
	     Phan and co-authors.",NA,"0.2-7",NA,"Text"
"TSrepr","Time Series Representations","Methods for representations (i.e. dimensionality reduction, preprocessing, feature extraction) of time series to help more accurate and effective time series data mining.
    Non-data adaptive, data adaptive, model-based and data dictated (clipped) representation methods are implemented. Also min-max and z-score normalisations, and forecasting accuracy measures are implemented.","https://petolau.github.io/package/,
https://github.com/PetoLau/TSrepr/","1.0.1","2018-05-31","Time Series"
"TSstudio","Tools for Time Series Analysis and Forecasting","Provides a set of interactive visualization tools for time series analysis supporting ts, mts, zoo and xts objects. That includes visualization functions for forecasting model performance (forecasted vs. actual), time series interactive plots (single and multiple series) and seasonality plots.",NA,"0.1.1",NA,"Time Series"
"udpipe","Tokenization, Parts of Speech Tagging, Lemmatization and
Dependency Parsing with the 'UDPipe' 'NLP' Toolkit","This natural language processing toolkit provides language-agnostic
    'tokenization', 'parts of speech tagging', 'lemmatization' and 'dependency
    parsing' of raw text. Next to text parsing, the package also allows you to train
    annotation models based on data of 'treebanks' in 'CoNLL-U' format as provided
    at <http://universaldependencies.org/format.html>. The techniques are explained
    in detail in the paper: 'Tokenizing, POS Tagging, Lemmatizing and Parsing UD 2.0
    with UDPipe', available at <doi:10.18653/v1/K17-3009>.","https://bnosac.github.io/udpipe/en/index.html,
https://github.com/bnosac/udpipe","0.6",NA,"Text"
"usethis","Automate Package and Project Setup","Automate package and project setup tasks that are otherwise
    performed manually. This includes setting up unit testing, test 
    coverage, continuous integration, Git, 'GitHub', licenses, 'Rcpp', 'RStudio' 
    projects, and more.","https://github.com/r-lib/usethis","1.3.0",NA,"Programing"
"VIM","Visualization and Imputation of Missing Values","New tools for the visualization of missing and/or imputed values
    are introduced, which can be used for exploring the data and the structure of
    the missing and/or imputed values. Depending on this structure of the missing
    values, the corresponding methods may help to identify the mechanism generating
    the missing values and allows to explore the data including missing values.
    In addition, the quality of imputation can be visually explored using various
    univariate, bivariate, multiple and multivariate plot methods. A graphical user
    interface available in the separate package VIMGUI allows an easy handling of
    the implemented plot methods.","https://github.com/statistikat/VIM","4.7.0","2017-04-11","Imputation"
"viridis","Default Color Maps from 'matplotlib'","Implementation of the 'viridis' - the default -, 'magma', 'plasma', 
    'inferno', and 'cividis' color maps for 'R'. 'viridis', 'magma', 'plasma', 
    and 'inferno' are ported from 'matplotlib' <http://matplotlib.org/>, a 
    popular plotting library for 'python'. 'cividis', was developed by Jamie R. 
    Nuñez and Sean M. Colby. These color maps are designed in such a way that 
    they will analytically be perfectly perceptually-uniform, both in regular 
    form and also when converted to black-and-white. They are also designed to 
    be perceived by readers with the most common form of color blindness (all 
    color maps in this package) and color vision deficiency ('cividis' only). ","https://github.com/sjmgarnier/viridis","0.5.1",NA,"Color"
"viridislite",NA,NA,NA,NA,NA,"Color"
"visdat","Preliminary Data Visualisation","Create preliminary exploratory data visualisations of an entire 
  dataset to identify problems or unexpected features using 'ggplot2'.","https://github.com/njtierney/visdat/","0.1.0",NA,"EDA"
"visNetwork","Network Visualization using 'vis.js' Library","Provides an R interface to the 'vis.js' JavaScript charting
    library. It allows an interactive visualization of networks.","http://datastorm-open.github.io/visNetwork/","2.0.4","2018-06-13","Plots"
"waterfalls","Create Waterfall Charts using 'ggplot2' Simply","A not uncommon task for quants is to create 'waterfall charts'. There seems to be no simple way to do this in 'ggplot2' currently. This package contains a single function (waterfall) that simply draws a waterfall chart in a 'ggplot2' object. Some flexibility is provided, though often the object created will need to be modified through a theme.",NA,"0.1.2","2018-01-15","Plots"
"withr","Run Code 'With' Temporarily Modified Global State","A set of functions to run code 'with' safely and temporarily
    modified global state. Many of these functions were originally a part of the
    'devtools' package, this provides a simple package with limited dependencies
    to provide access to these functions.","http://withr.r-lib.org, http://github.com/r-lib/withr#readme","2.1.2",NA,"Programming"
"workflowr","A Framework for Reproducible and Collaborative Data Science","Combines literate programming ('knitr' and 'rmarkdown') and version
  control ('Git', via 'git2r') to generate a website containing time-stamped,
  versioned, and documented results.","https://github.com/jdblischak/workflowr","1.0.1","2018-04-20","workflow"
"WVPlots","Common Plots for Analysis","Select data analysis plots, under a standardized calling interface implemented on top of 'ggplot2' and 'plotly'.  
   Plots of interest include: 'ROC', gain curve, scatter plot with marginal distributions, 
   conditioned scatter plot with marginal densities,
   box and stem with matching theoretical distribution, and density with matching theoretical distribution.","https://github.com/WinVector/WVPlots,
https://winvector.github.io/WVPlots/","1.0.0","2018-05-24He","Plots"
"xgboost","Extreme Gradient Boosting","Extreme Gradient Boosting, which is an efficient implementation
    of the gradient boosting framework from Chen & Guestrin (2016) <doi:10.1145/2939672.2939785>.
    This package is its R interface. The package includes efficient linear 
    model solver and tree learning algorithms. The package can automatically 
    do parallel computation on a single machine which could be more than 10 
    times faster than existing gradient boosting packages. It supports
    various objective functions, including regression, classification and ranking.
    The package is made to be extensible, so that users are also allowed to define
    their own objectives easily.","https://github.com/dmlc/xgboost","0.71.2","2018-06-08","Models"
"xray","X Ray Vision on your Datasets","Tools to analyze datasets previous to any statistical modeling.
    Has various functions designed to find inconsistencies and understanding the distribution of the data.","https://github.com/sicarul/xray/","0.2",NA,"EDA"
"yardstick","Tidy Characterizations of Model Performance","Tidy tools for quantifying how well model fits to a data set such as confusion matrices, class probability curve summaries, and regression metrics (e.g., RMSE). ","https://github.com/topepo/yardstick","0.0.1",NA,"Models"
"yarrr","A Companion to the e-Book ""YaRrr!: The Pirate's Guide to R""","Contains a mixture of functions and data sets referred to in the introductory e-book ""YaRrr!: The Pirate's Guide to R"". The latest version of the e-book is available for free at <https://www.thepiratesguidetor.com>.","www.thepiratesguidetor.com","0.1.5","2017-4-18","EDA"
"ztable","Zebra-Striped Tables in LaTeX and HTML Formats","Makes zebra-striped tables (tables with alternating row colors)
    in LaTeX and HTML formats easily from a data.frame, matrix, lm, aov, anova,
    glm, coxph, nls, fitdistr, mytable and cbind.mytable objects.","http://github.com/cardiomoon/ztable","0.1.8",NA,"Tables"
